timestamp,acceleration.x,acceleration.y,acceleration.z
1.487303916045e+12,-0.14,-0.02,1.01
1.487303916542e+12,-0.13,0.01,0.96
1.487303917023e+12,-0.14,0.00,0.95
1.487303917517e+12,-0.15,-0.01,0.97
1.487303917996e+12,-0.15,-0.00,0.97
1.487303918507e+12,-0.13,-0.02,1.01
1.487303918989e+12,-0.14,0.00,0.95
1.487303919484e+12,-0.15,0.02,0.99
1.487303919982e+12,-0.17,0.04,1.02
1.487303920476e+12,-0.17,0.05,0.97
1.487303920957e+12,-0.11,0.09,0.96
1.487303921453e+12,-0.07,0.10,0.97
1.48730392195e+12,-0.09,0.09,0.99
1.487303922429e+12,-0.03,0.05,0.95
1.487303922923e+12,-0.10,-0.01,0.97
1.487303923419e+12,-0.11,-0.06,0.97
1.487303923916e+12,-0.12,-0.09,1.08
1.487303924411e+12,-0.09,0.01,0.96
1.487303924908e+12,-0.06,-0.03,1.01
1.487303925403e+12,-0.11,-0.03,0.99
1.487303925883e+12,-0.10,0.02,0.96
1.487303926378e+12,-0.10,0.06,0.98
1.487303926877e+12,-0.07,0.11,1.00
1.487303927371e+12,-0.09,0.02,0.94
1.487303927867e+12,-0.07,-0.09,1.04
1.487303928362e+12,-0.04,-0.07,0.99
1.487303928842e+12,-0.12,-0.08,0.99
1.487303929355e+12,-0.12,-0.10,1.00
1.487303929834e+12,-0.15,-0.07,0.98
1.487303930349e+12,-0.05,-0.07,1.04
1.487303930843e+12,-0.06,-0.01,1.05
1.487303931338e+12,-0.05,0.03,1.03
1.487303931833e+12,-0.06,0.03,0.98
1.487303932333e+12,-0.17,-0.03,0.97
1.487303932826e+12,-0.04,-0.06,1.00
1.487303933323e+12,-0.04,-0.02,1.04
1.487303933819e+12,-0.05,0.00,1.06
1.487303934314e+12,-0.06,0.05,1.02
1.487303934809e+12,-0.06,0.05,0.98
1.487303935306e+12,-0.17,-0.02,0.96
1.487303935786e+12,-0.08,-0.05,0.96
1.487303936299e+12,-0.05,-0.02,1.04
1.487303936793e+12,-0.06,0.00,1.05
1.48730393729e+12,-0.05,0.05,1.04
1.487303937785e+12,-0.06,0.05,1.03
1.487303938283e+12,-0.05,0.13,1.00
1.487303938797e+12,-0.14,0.12,1.03
1.487303939273e+12,-0.06,0.18,0.97
1.487303939769e+12,-0.05,0.13,1.02
1.487303940281e+12,-0.03,0.01,1.02
1.487303940762e+12,-0.03,-0.05,0.98
1.487303941256e+12,0.07,-0.06,0.92
1.487303941753e+12,-0.10,-0.05,0.97
1.487303942233e+12,-0.13,-0.07,0.97
1.487303942745e+12,-0.06,-0.03,1.04
1.48730394324e+12,-0.17,-0.07,1.03
1.487303943737e+12,0.01,-0.08,0.94
1.487303944233e+12,-0.14,-0.13,1.02
1.487303944728e+12,-0.11,-0.03,0.97
1.487303945225e+12,-0.05,-0.00,1.04
1.48730394572e+12,-0.16,-0.04,1.01
1.487303946216e+12,-0.03,0.09,0.96
1.487303946711e+12,-0.12,0.10,1.01
1.487303947192e+12,0.00,0.06,0.97
1.487303947704e+12,-0.09,0.16,1.02
1.487303948153e+12,0.00,0.15,0.96
1.487303948632e+12,-0.01,0.10,0.98
1.487303949128e+12,0.01,0.06,0.98
1.487303949625e+12,-0.03,0.06,1.05
1.487303950121e+12,-0.03,0.07,0.98
1.487303950618e+12,-0.11,0.11,1.02
1.487303951111e+12,-0.04,0.13,0.96
1.487303951607e+12,-0.06,0.05,1.01
1.487303952104e+12,-0.07,0.06,1.01
1.4873039526e+12,-0.02,0.07,0.91
1.487303953097e+12,-0.04,-0.04,1.04
1.487303953592e+12,-0.10,-0.06,1.03
1.487303954088e+12,-0.04,-0.01,1.02
1.4873039546e+12,-0.17,0.04,1.02
1.487303955082e+12,-0.09,-0.09,0.99
1.487303955575e+12,-0.07,-0.05,0.94
1.487303956071e+12,-0.06,-0.15,0.98
1.487303956566e+12,-0.09,-0.06,1.00
1.487303957065e+12,-0.13,-0.21,0.99
1.487303957544e+12,-0.09,-0.08,0.98
1.487303958039e+12,-0.02,-0.16,0.95
1.487303958534e+12,-0.10,-0.05,1.08
1.487303959047e+12,-0.06,-0.13,1.05
1.487303959526e+12,-0.08,-0.11,0.99
1.487303960022e+12,-0.13,-0.17,0.93
1.487303960519e+12,-0.08,-0.19,1.03
1.487303961016e+12,-0.11,-0.16,0.94
1.48730396151e+12,0.01,-0.14,0.99
1.487303962008e+12,-0.06,-0.08,1.03
1.487303962502e+12,-0.07,-0.12,0.97
1.487303962983e+12,-0.07,-0.11,0.98
1.487303963497e+12,-0.07,-0.00,1.04
1.487303963974e+12,-0.05,0.01,0.98
1.487303964471e+12,-0.10,-0.10,0.98
1.487303964968e+12,-0.08,0.03,1.05
1.487303965463e+12,-0.05,0.05,0.98
1.487303965957e+12,-0.07,-0.07,0.98
1.487303966455e+12,-0.06,-0.01,1.04
1.48730396695e+12,-0.09,0.04,1.02
1.487303967448e+12,-0.07,0.04,0.96
1.487303967925e+12,-0.07,-0.07,0.99
1.487303968438e+12,-0.07,0.02,1.04
1.487303968918e+12,-0.06,0.05,0.97
1.487303969414e+12,-0.10,-0.06,1.00
1.487303969925e+12,-0.05,-0.05,1.00
1.487303970422e+12,-0.07,0.01,1.04
1.487303970916e+12,-0.07,0.04,1.00
1.487303971417e+12,-0.06,-0.00,0.98
1.487303971909e+12,-0.04,-0.07,1.00
1.487303972405e+12,-0.07,-0.01,1.04
1.487303972902e+12,-0.07,0.02,1.00
1.487303973399e+12,-0.07,0.02,0.96
1.487303973878e+12,-0.04,-0.07,0.97
1.487303974391e+12,-0.08,0.02,1.02
